ID,Data,Nivel_de_conhecimento,Nota,Conteudo_abordado,Didatica_do_professor,Material_de_apoio,Espaco_do_evento,Comentario_geral
491,2025-03-15,Conhecimento avançado,2,Modelagem de dados,Confusa,Slides,Com muitas cadeiras,"O conteúdo sobre DAX foi excelente, muito bem explicado."
492,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Objetiva,Vídeos,Sem acústica,Poderiam ter dado mais exemplos sobre modelagem de dados.
493,2025-03-15,Conhecimento avançado,3,Conectando fontes de dados,Clara,Slides,Muito amplo,"A explicação sobre visualizações foi muito boa, mas eu gostaria de mais exemplos práticos."
494,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Confusa,Documentação,Confortável,"Gostei bastante da palestra, mas a acústica poderia ser melhor."
495,2025-03-15,Conhecimento básico,3,Análise de dados avançada,Confusa,Vídeos,Muito amplo,Poderiam ter dado mais exemplos sobre modelagem de dados.
496,2025-03-15,Conhecimento básico,1,Conectando fontes de dados,Clara,Documentação,Confortável,Fiquei um pouco perdido no conteúdo sobre modelagem de dados.
497,2025-03-15,Nenhum conhecimento,2,Criação de dashboards,Com muitos exemplos,Exercícios práticos,Sem acústica,O evento poderia ser mais longo para abordar mais tópicos.
498,2025-03-15,Conhecimento básico,3,Criação de dashboards,Clara,Documentação,Pouco ventilado,Achei que o conteúdo poderia ser mais aprofundado.
499,2025-03-15,Conhecimento básico,5,DAX e Power Query,Clara,Slides,Pouco ventilado,"A palestra superou minhas expectativas, principalmente sobre DAX."
500,2025-03-15,Conhecimento avançado,1,DAX e Power Query,Intermediária,Exercícios práticos,Muito amplo,"O material de apoio foi claro, mas faltou mais exemplos práticos."
501,2025-03-15,Conhecimento básico,2,Conectando fontes de dados,Intermediária,Apostila,Muito amplo,As explicações sobre visualizações de dados foram muito boas.
502,2025-03-15,Conhecimento básico,2,DAX e Power Query,Confusa,Exercícios práticos,Com muitas cadeiras,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
503,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Clara,Slides,Confortável,"O professor foi ótimo, mas o material de apoio não estava tão claro."
504,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Clara,Exercícios práticos,Confortável,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
505,2025-03-15,Conhecimento básico,2,DAX e Power Query,Com muitos exemplos,Exercícios práticos,Com muitas cadeiras,Eu gostaria que o professor tivesse feito mais demonstrações ao vivo.
506,2025-03-15,Conhecimento avançado,1,Conectando fontes de dados,Intermediária,Exercícios práticos,Pouco ventilado,"O espaço poderia ser mais ventilado, estava quente."
507,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Objetiva,Slides,Confortável,A parte de visualização de dados foi bem interessante.
508,2025-03-15,Conhecimento básico,2,Introdução ao Power BI,Intermediária,Vídeos,Com muitas cadeiras,"A acústica do local estava ruim, não conseguia ouvir bem em alguns momentos."
509,2025-03-15,Conhecimento avançado,5,Criação de dashboards,Com muitos exemplos,Documentação,Muito amplo,A palestra foi confusa em alguns momentos.
510,2025-03-15,Conhecimento básico,5,Análise de dados avançada,Confusa,Slides,Com muitas cadeiras,"O espaço poderia ser mais ventilado, estava quente."
511,2025-03-15,Nenhum conhecimento,4,Introdução ao Power BI,Confusa,Documentação,Muito amplo,"O espaço era confortável, mas o local estava muito quente."
512,2025-03-15,Conhecimento avançado,5,Modelagem de dados,Clara,Exercícios práticos,Pouco ventilado,"O evento atendeu às minhas expectativas, mas o conteúdo poderia ser mais detalhado."
513,2025-03-15,Conhecimento avançado,5,Modelagem de dados,Intermediária,Exercícios práticos,Muito amplo,Fiquei um pouco perdido na parte de modelagem de dados.
514,2025-03-15,Conhecimento avançado,1,Modelagem de dados,Objetiva,Documentação,Confortável,"A didática foi ótima, consegui entender tudo que foi falado."
515,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Intermediária,Vídeos,Sem acústica,"O evento foi ótimo, mas o local poderia ter mais espaço."
516,2025-03-15,Conhecimento avançado,2,Introdução ao Power BI,Com muitos exemplos,Vídeos,Confortável,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
517,2025-03-15,Nenhum conhecimento,2,DAX e Power Query,Com muitos exemplos,Vídeos,Sem acústica,Achei o tempo de palestra bem adequado.
518,2025-03-15,Nenhum conhecimento,1,Conectando fontes de dados,Clara,Exercícios práticos,Pouco ventilado,"Professor excelente, mas o conteúdo foi muito básico."
519,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Confusa,Apostila,Sem acústica,Poderiam ter dado mais exemplos práticos de como usar o Power BI no dia a dia.
520,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Clara,Documentação,Pouco ventilado,Não consegui acompanhar toda a parte sobre DAX.
521,2025-03-15,Nenhum conhecimento,2,Modelagem de dados,Clara,Documentação,Sem acústica,Tive dificuldade para entender algumas partes sobre Power Query.
522,2025-03-15,Conhecimento avançado,1,Conectando fontes de dados,Clara,Vídeos,Sem acústica,Eu adoraria ver um módulo mais avançado sobre DAX.
523,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Com muitos exemplos,Exercícios práticos,Confortável,A palestra foi confusa em alguns momentos.
524,2025-03-15,Nenhum conhecimento,2,Modelagem de dados,Clara,Documentação,Sem acústica,"Gostei do evento, mas achei que o professor poderia interagir mais com a turma."
525,2025-03-15,Conhecimento avançado,5,Modelagem de dados,Clara,Exercícios práticos,Confortável,Fiquei um pouco perdido na parte de modelagem de dados.
526,2025-03-15,Conhecimento básico,1,Modelagem de dados,Intermediária,Slides,Pouco ventilado,"Achei o ritmo do evento bom, mas o conteúdo poderia ser mais avançado."
527,2025-03-15,Conhecimento avançado,1,DAX e Power Query,Com muitos exemplos,Vídeos,Sem acústica,Achei que o conteúdo foi bem organizado.
528,2025-03-15,Nenhum conhecimento,1,DAX e Power Query,Objetiva,Slides,Confortável,Eu gostaria de mais explicações sobre Power Query.
529,2025-03-15,Conhecimento básico,4,DAX e Power Query,Clara,Vídeos,Com muitas cadeiras,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
530,2025-03-15,Nenhum conhecimento,3,DAX e Power Query,Confusa,Slides,Confortável,Poderiam ter explicado mais sobre a integração com outras ferramentas.
531,2025-03-15,Conhecimento avançado,4,DAX e Power Query,Clara,Documentação,Com muitas cadeiras,"A palestra superou minhas expectativas, principalmente sobre DAX."
532,2025-03-15,Conhecimento avançado,3,Criação de dashboards,Intermediária,Slides,Pouco ventilado,Achei que o conteúdo foi bem organizado.
533,2025-03-15,Conhecimento básico,4,Conectando fontes de dados,Objetiva,Apostila,Com muitas cadeiras,"Achei o ritmo do evento bom, mas o conteúdo poderia ser mais avançado."
534,2025-03-15,Conhecimento básico,5,Modelagem de dados,Objetiva,Vídeos,Confortável,Fiquei um pouco perdido na parte de modelagem de dados.
535,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Intermediária,Slides,Confortável,Fiquei um pouco perdido na parte de modelagem de dados.
536,2025-03-15,Conhecimento avançado,5,DAX e Power Query,Confusa,Exercícios práticos,Sem acústica,"A interação durante a palestra foi boa, mas faltou mais práticas."
537,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Clara,Documentação,Pouco ventilado,"O material de apoio foi claro, mas faltou mais exemplos práticos."
538,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Intermediária,Exercícios práticos,Confortável,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
539,2025-03-15,Conhecimento avançado,2,Análise de dados avançada,Clara,Documentação,Pouco ventilado,"Muito bom, só faltaram mais exemplos sobre integração com outras ferramentas."
540,2025-03-15,Nenhum conhecimento,5,Conectando fontes de dados,Intermediária,Vídeos,Confortável,"Ótima palestra, aprendi muito!"
541,2025-03-15,Conhecimento avançado,1,Modelagem de dados,Clara,Apostila,Confortável,Achei que o conteúdo poderia ser mais aprofundado.
542,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Objetiva,Apostila,Sem acústica,"O material de apoio foi claro, mas faltou mais exemplos práticos."
543,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Clara,Apostila,Com muitas cadeiras,O espaço estava bem organizado e confortável.
544,2025-03-15,Nenhum conhecimento,3,Conectando fontes de dados,Com muitos exemplos,Vídeos,Pouco ventilado,Achei o tempo de palestra bem adequado.
545,2025-03-15,Conhecimento básico,5,Modelagem de dados,Objetiva,Documentação,Sem acústica,"A palestra foi boa, mas faltaram mais práticas interativas."
546,2025-03-15,Conhecimento avançado,3,Criação de dashboards,Intermediária,Vídeos,Com muitas cadeiras,Eu adoraria ver um módulo mais avançado sobre DAX.
547,2025-03-15,Conhecimento básico,5,Introdução ao Power BI,Confusa,Apostila,Muito amplo,"O espaço poderia ser mais ventilado, estava quente."
548,2025-03-15,Conhecimento básico,3,Análise de dados avançada,Intermediária,Documentação,Confortável,"O evento foi bom, mas o local não tinha boa acústica."
549,2025-03-15,Nenhum conhecimento,2,Criação de dashboards,Objetiva,Slides,Muito amplo,"O evento foi bem interessante, mas o espaço poderia ser mais confortável."
550,2025-03-15,Nenhum conhecimento,1,DAX e Power Query,Clara,Slides,Sem acústica,"Gostei bastante da palestra, mas a acústica poderia ser melhor."
551,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Clara,Apostila,Pouco ventilado,"O conteúdo foi interessante, mas muito teórico."
552,2025-03-15,Nenhum conhecimento,5,Conectando fontes de dados,Confusa,Apostila,Muito amplo,Poderiam ter dado mais tempo para perguntas no final.
553,2025-03-15,Conhecimento avançado,5,Análise de dados avançada,Com muitos exemplos,Apostila,Sem acústica,"Gostei bastante dos exemplos, mas o conteúdo poderia ser mais detalhado."
554,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Com muitos exemplos,Documentação,Confortável,Achei que o conteúdo foi bem organizado.
555,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Confusa,Slides,Pouco ventilado,Poderiam ter dado mais exemplos sobre modelagem de dados.
556,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Clara,Exercícios práticos,Pouco ventilado,"O evento atendeu às minhas expectativas, mas o conteúdo poderia ser mais detalhado."
557,2025-03-15,Conhecimento avançado,2,Análise de dados avançada,Intermediária,Exercícios práticos,Com muitas cadeiras,Gostei muito dos exemplos práticos apresentados.
558,2025-03-15,Conhecimento básico,2,Análise de dados avançada,Confusa,Apostila,Confortável,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
559,2025-03-15,Conhecimento básico,3,DAX e Power Query,Confusa,Vídeos,Com muitas cadeiras,"A parte prática foi a melhor, espero que tenha mais exercícios no futuro."
560,2025-03-15,Nenhum conhecimento,2,Criação de dashboards,Confusa,Apostila,Sem acústica,"O espaço foi confortável, mas a iluminação poderia ser melhor."
561,2025-03-15,Nenhum conhecimento,5,Conectando fontes de dados,Confusa,Vídeos,Sem acústica,A parte de visualização de dados foi bem interessante.
562,2025-03-15,Nenhum conhecimento,3,Conectando fontes de dados,Intermediária,Exercícios práticos,Pouco ventilado,"O conteúdo foi interessante, mas muito teórico."
563,2025-03-15,Conhecimento básico,1,Análise de dados avançada,Confusa,Slides,Sem acústica,Achei que o evento foi muito bem organizado.
564,2025-03-15,Conhecimento básico,5,Criação de dashboards,Confusa,Documentação,Com muitas cadeiras,"O evento foi bom, mas o local não tinha boa acústica."
565,2025-03-15,Nenhum conhecimento,5,Criação de dashboards,Objetiva,Vídeos,Pouco ventilado,"O tempo foi suficiente, mas eu gostaria de mais exemplos ao vivo."
566,2025-03-15,Conhecimento básico,1,Conectando fontes de dados,Intermediária,Vídeos,Com muitas cadeiras,"O professor tem boa experiência, mas a aula poderia ser mais interativa."
567,2025-03-15,Conhecimento básico,4,DAX e Power Query,Com muitos exemplos,Slides,Com muitas cadeiras,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
568,2025-03-15,Conhecimento básico,1,Modelagem de dados,Confusa,Exercícios práticos,Sem acústica,O evento poderia ser mais longo para abordar mais tópicos.
569,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Objetiva,Slides,Confortável,"Achei a palestra boa, mas o local estava com pouca ventilação."
570,2025-03-15,Nenhum conhecimento,1,Criação de dashboards,Com muitos exemplos,Documentação,Confortável,"O professor foi ótimo, mas o espaço não ajudou muito."
571,2025-03-15,Conhecimento avançado,1,Introdução ao Power BI,Com muitos exemplos,Apostila,Com muitas cadeiras,"Eu esperava mais sobre Power BI Desktop, mas o evento foi bom."
572,2025-03-15,Conhecimento básico,3,DAX e Power Query,Com muitos exemplos,Vídeos,Muito amplo,Poderiam ter dado mais exemplos sobre modelagem de dados.
573,2025-03-15,Conhecimento avançado,2,Modelagem de dados,Confusa,Vídeos,Muito amplo,Gostei muito dos exemplos práticos apresentados.
574,2025-03-15,Nenhum conhecimento,1,Introdução ao Power BI,Confusa,Vídeos,Com muitas cadeiras,Fiquei um pouco perdido na parte de modelagem de dados.
575,2025-03-15,Nenhum conhecimento,2,Criação de dashboards,Intermediária,Vídeos,Com muitas cadeiras,Poderiam ter dado mais exemplos sobre modelagem de dados.
576,2025-03-15,Nenhum conhecimento,3,Criação de dashboards,Intermediária,Slides,Confortável,"Ótima palestra, aprendi muito!"
577,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Intermediária,Vídeos,Confortável,"Professor excelente, mas o conteúdo foi muito básico."
578,2025-03-15,Conhecimento básico,3,Criação de dashboards,Com muitos exemplos,Slides,Sem acústica,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
579,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Objetiva,Apostila,Confortável,Poderiam ter explicado mais sobre a integração com outras ferramentas.
580,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Confusa,Documentação,Confortável,"Muito bom, aprendi conceitos novos que eu não sabia."
581,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Com muitos exemplos,Apostila,Pouco ventilado,"O professor foi muito didático, mas o local do evento não ajudou."
582,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Objetiva,Vídeos,Com muitas cadeiras,"Gostei dos exemplos, mas acho que poderiam ser mais realistas."
583,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Objetiva,Exercícios práticos,Sem acústica,"A didática foi ótima, consegui entender tudo que foi falado."
584,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Com muitos exemplos,Exercícios práticos,Sem acústica,"A palestra superou minhas expectativas, principalmente sobre DAX."
585,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Intermediária,Apostila,Pouco ventilado,"O professor foi ótimo, mas o material de apoio não estava tão claro."
586,2025-03-15,Nenhum conhecimento,2,Análise de dados avançada,Confusa,Slides,Muito amplo,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
587,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Intermediária,Documentação,Sem acústica,Tive dificuldade para entender algumas partes sobre Power Query.
588,2025-03-15,Conhecimento avançado,1,Conectando fontes de dados,Clara,Exercícios práticos,Pouco ventilado,A interação com os participantes poderia ser maior.
589,2025-03-15,Nenhum conhecimento,3,Conectando fontes de dados,Com muitos exemplos,Apostila,Pouco ventilado,As explicações sobre visualizações de dados foram muito boas.
590,2025-03-15,Nenhum conhecimento,4,DAX e Power Query,Intermediária,Exercícios práticos,Com muitas cadeiras,"A didática foi ótima, consegui entender tudo que foi falado."
591,2025-03-15,Conhecimento básico,4,Modelagem de dados,Intermediária,Apostila,Confortável,Achei o tempo de palestra bem adequado.
592,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Com muitos exemplos,Slides,Confortável,"Material de apoio muito bom, gostei dos vídeos."
593,2025-03-15,Conhecimento básico,4,DAX e Power Query,Confusa,Apostila,Sem acústica,Acho que poderia ter tido mais interação durante as explicações.
594,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Com muitos exemplos,Vídeos,Pouco ventilado,Poderiam ter explicado mais sobre a integração com outras ferramentas.
595,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Clara,Slides,Com muitas cadeiras,O espaço estava bem organizado e confortável.
596,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Objetiva,Slides,Sem acústica,"A palestra foi boa, mas faltaram mais práticas interativas."
597,2025-03-15,Conhecimento avançado,2,Conectando fontes de dados,Clara,Exercícios práticos,Sem acústica,"O material foi bom, mas faltaram mais exemplos práticos."
598,2025-03-15,Conhecimento avançado,5,Conectando fontes de dados,Com muitos exemplos,Apostila,Pouco ventilado,"O professor foi ótimo, mas o espaço não ajudou muito."
599,2025-03-15,Conhecimento básico,4,Criação de dashboards,Confusa,Apostila,Pouco ventilado,"O espaço poderia ser mais ventilado, estava quente."
600,2025-03-15,Nenhum conhecimento,5,Modelagem de dados,Intermediária,Apostila,Sem acústica,Poderiam ter dado mais tempo para perguntas no final.
601,2025-03-15,Conhecimento básico,5,Criação de dashboards,Clara,Exercícios práticos,Pouco ventilado,"Conteúdo bom, mas poderia ser mais aprofundado."
602,2025-03-15,Conhecimento básico,2,Modelagem de dados,Intermediária,Apostila,Com muitas cadeiras,"O espaço era confortável, mas o local estava muito quente."
603,2025-03-15,Conhecimento avançado,5,Modelagem de dados,Clara,Slides,Sem acústica,"Excelente didática, fácil de entender."
604,2025-03-15,Conhecimento básico,4,Modelagem de dados,Clara,Vídeos,Pouco ventilado,Achei o tempo de palestra bem adequado.
605,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Clara,Exercícios práticos,Confortável,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
606,2025-03-15,Conhecimento básico,1,Criação de dashboards,Confusa,Exercícios práticos,Sem acústica,"O tempo foi suficiente, mas eu gostaria de mais exemplos ao vivo."
607,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Clara,Documentação,Sem acústica,"Achei que a quantidade de conteúdo foi boa, mas o ritmo estava um pouco rápido."
608,2025-03-15,Nenhum conhecimento,1,DAX e Power Query,Objetiva,Apostila,Pouco ventilado,Gostei muito de como o professor explicou os conceitos complexos de forma simples.
609,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Objetiva,Vídeos,Muito amplo,"O conteúdo sobre Power Query foi bom, mas poderia ter mais exemplos."
610,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Intermediária,Slides,Confortável,"Gostei bastante da palestra, mas a acústica poderia ser melhor."
611,2025-03-15,Conhecimento avançado,3,Conectando fontes de dados,Confusa,Exercícios práticos,Confortável,"Achei a parte de modelagem de dados muito interessante, mas poderia ser mais prática."
612,2025-03-15,Conhecimento avançado,3,Modelagem de dados,Com muitos exemplos,Apostila,Com muitas cadeiras,"A palestra foi boa, mas faltaram mais práticas interativas."
613,2025-03-15,Conhecimento básico,4,DAX e Power Query,Com muitos exemplos,Apostila,Sem acústica,"O evento foi bem interessante, mas o espaço poderia ser mais confortável."
614,2025-03-15,Conhecimento avançado,3,Criação de dashboards,Clara,Documentação,Confortável,"O evento foi bom, mas o local não ajudou muito na acústica."
615,2025-03-15,Nenhum conhecimento,4,Introdução ao Power BI,Intermediária,Exercícios práticos,Pouco ventilado,Poderiam ter dado mais tempo para perguntas no final.
616,2025-03-15,Nenhum conhecimento,2,Análise de dados avançada,Clara,Documentação,Com muitas cadeiras,"Achei o ritmo do evento bom, mas o conteúdo poderia ser mais avançado."
617,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Intermediária,Documentação,Confortável,"O conteúdo sobre Power Query foi bom, mas poderia ter mais exemplos."
618,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Clara,Vídeos,Muito amplo,"O espaço foi confortável, mas a iluminação poderia ser melhor."
619,2025-03-15,Conhecimento básico,5,DAX e Power Query,Confusa,Vídeos,Muito amplo,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
620,2025-03-15,Nenhum conhecimento,4,Modelagem de dados,Objetiva,Documentação,Com muitas cadeiras,Gostei muito de como o professor explicou os conceitos complexos de forma simples.
621,2025-03-15,Nenhum conhecimento,3,Criação de dashboards,Com muitos exemplos,Apostila,Muito amplo,Gostei muito dos exemplos práticos apresentados.
622,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Clara,Vídeos,Com muitas cadeiras,Eu adoraria ver um módulo mais avançado sobre DAX.
623,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Confusa,Apostila,Confortável,"O professor foi ótimo, mas o espaço não ajudou muito."
624,2025-03-15,Nenhum conhecimento,2,Criação de dashboards,Clara,Apostila,Muito amplo,Fiquei um pouco perdido no conteúdo sobre modelagem de dados.
625,2025-03-15,Nenhum conhecimento,4,Análise de dados avançada,Com muitos exemplos,Exercícios práticos,Muito amplo,"Ótima palestra, aprendi muito!"
626,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Com muitos exemplos,Vídeos,Pouco ventilado,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
627,2025-03-15,Nenhum conhecimento,2,Introdução ao Power BI,Confusa,Vídeos,Com muitas cadeiras,"O conteúdo sobre Power Query foi bom, mas poderia ter mais exemplos."
628,2025-03-15,Conhecimento avançado,5,DAX e Power Query,Com muitos exemplos,Apostila,Confortável,"A acústica do local estava ruim, não conseguia ouvir bem em alguns momentos."
629,2025-03-15,Conhecimento avançado,5,DAX e Power Query,Objetiva,Slides,Confortável,"Gostei dos slides, mas os vídeos poderiam ter sido mais explicativos."
630,2025-03-15,Conhecimento básico,5,DAX e Power Query,Objetiva,Apostila,Pouco ventilado,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
631,2025-03-15,Conhecimento avançado,2,Criação de dashboards,Confusa,Documentação,Sem acústica,"O evento foi bom, mas o local não ajudou muito na acústica."
632,2025-03-15,Nenhum conhecimento,4,Criação de dashboards,Intermediária,Documentação,Pouco ventilado,"Achei a parte de modelagem de dados muito interessante, mas poderia ser mais prática."
633,2025-03-15,Conhecimento básico,1,Modelagem de dados,Intermediária,Apostila,Com muitas cadeiras,"A acústica do local estava ruim, não conseguia ouvir bem em alguns momentos."
634,2025-03-15,Nenhum conhecimento,1,Criação de dashboards,Confusa,Documentação,Muito amplo,Eu adoraria ver um módulo mais avançado sobre DAX.
635,2025-03-15,Conhecimento básico,4,Introdução ao Power BI,Objetiva,Apostila,Pouco ventilado,"A interação durante a palestra foi boa, mas faltou mais práticas."
636,2025-03-15,Nenhum conhecimento,2,DAX e Power Query,Com muitos exemplos,Exercícios práticos,Com muitas cadeiras,Fiquei com dúvidas sobre como aplicar alguns conceitos na prática.
637,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Objetiva,Vídeos,Sem acústica,A palestra foi confusa em alguns momentos.
638,2025-03-15,Nenhum conhecimento,1,Modelagem de dados,Intermediária,Vídeos,Muito amplo,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
639,2025-03-15,Conhecimento avançado,5,Análise de dados avançada,Intermediária,Apostila,Pouco ventilado,"O espaço era confortável, mas o local estava muito quente."
640,2025-03-15,Nenhum conhecimento,2,DAX e Power Query,Clara,Vídeos,Muito amplo,"Material de apoio muito bom, gostei dos vídeos."
641,2025-03-15,Conhecimento básico,1,Análise de dados avançada,Com muitos exemplos,Slides,Pouco ventilado,A interação com os participantes poderia ser maior.
642,2025-03-15,Nenhum conhecimento,5,Modelagem de dados,Intermediária,Slides,Sem acústica,Faltou mais tempo para perguntas e interação com o público.
643,2025-03-15,Conhecimento avançado,1,Modelagem de dados,Objetiva,Vídeos,Pouco ventilado,Fiquei um pouco perdido na parte de modelagem de dados.
644,2025-03-15,Conhecimento básico,3,Conectando fontes de dados,Clara,Slides,Sem acústica,"O professor foi ótimo, mas o material de apoio não estava tão claro."
645,2025-03-15,Nenhum conhecimento,3,Introdução ao Power BI,Com muitos exemplos,Vídeos,Confortável,Gostei muito de como o professor explicou os conceitos complexos de forma simples.
646,2025-03-15,Conhecimento básico,4,Criação de dashboards,Intermediária,Exercícios práticos,Com muitas cadeiras,"O conteúdo sobre DAX foi excelente, muito bem explicado."
647,2025-03-15,Nenhum conhecimento,4,Conectando fontes de dados,Confusa,Slides,Confortável,A interação com os participantes poderia ser maior.
648,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Confusa,Documentação,Pouco ventilado,"Muito bom, só faltaram mais exemplos sobre integração com outras ferramentas."
649,2025-03-15,Nenhum conhecimento,3,Introdução ao Power BI,Intermediária,Exercícios práticos,Sem acústica,A interação com os participantes poderia ser maior.
650,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Confusa,Exercícios práticos,Com muitas cadeiras,"O material foi bom, mas faltaram mais exemplos práticos."
651,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Clara,Exercícios práticos,Confortável,Poderiam ter explicado mais sobre a integração com outras ferramentas.
652,2025-03-15,Conhecimento básico,5,Criação de dashboards,Com muitos exemplos,Documentação,Muito amplo,"O evento foi bom, mas o local não tinha boa acústica."
653,2025-03-15,Nenhum conhecimento,2,Análise de dados avançada,Com muitos exemplos,Vídeos,Com muitas cadeiras,"Achei a palestra boa, mas o local estava com pouca ventilação."
654,2025-03-15,Conhecimento avançado,2,Introdução ao Power BI,Com muitos exemplos,Slides,Sem acústica,"O tempo foi suficiente, mas eu gostaria de mais exemplos ao vivo."
655,2025-03-15,Conhecimento avançado,1,Conectando fontes de dados,Objetiva,Exercícios práticos,Pouco ventilado,"Ótima palestra, aprendi muito!"
656,2025-03-15,Conhecimento básico,2,Modelagem de dados,Com muitos exemplos,Apostila,Pouco ventilado,"Adorei o conteúdo, mas gostaria de mais tempo para perguntas."
657,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Confusa,Slides,Muito amplo,"O professor foi ótimo, mas o espaço não ajudou muito."
658,2025-03-15,Conhecimento avançado,5,DAX e Power Query,Objetiva,Documentação,Confortável,"A acústica do local estava ruim, não conseguia ouvir bem em alguns momentos."
659,2025-03-15,Conhecimento básico,1,Conectando fontes de dados,Intermediária,Apostila,Muito amplo,Gostei muito dos exemplos práticos apresentados.
660,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Intermediária,Documentação,Sem acústica,"A palestra foi boa, mas faltaram mais práticas interativas."
661,2025-03-15,Conhecimento básico,5,Criação de dashboards,Com muitos exemplos,Slides,Sem acústica,"Conteúdo bom, mas poderia ser mais aprofundado."
662,2025-03-15,Conhecimento básico,5,Análise de dados avançada,Com muitos exemplos,Exercícios práticos,Com muitas cadeiras,"A didática foi ótima, consegui entender tudo que foi falado."
663,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Intermediária,Apostila,Sem acústica,"O evento foi muito bom, aprendi bastante, mas o espaço estava muito quente."
664,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Clara,Documentação,Muito amplo,"Gostei dos exemplos, mas acho que poderiam ser mais realistas."
665,2025-03-15,Conhecimento básico,5,Criação de dashboards,Intermediária,Documentação,Sem acústica,Faltou mais tempo para perguntas e interação com o público.
666,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Com muitos exemplos,Slides,Pouco ventilado,"O conteúdo sobre DAX foi excelente, muito bem explicado."
667,2025-03-15,Conhecimento avançado,2,Análise de dados avançada,Objetiva,Apostila,Pouco ventilado,"A interação durante a palestra foi boa, mas faltou mais práticas."
668,2025-03-15,Conhecimento básico,2,Análise de dados avançada,Confusa,Exercícios práticos,Pouco ventilado,Não consegui acompanhar toda a parte sobre DAX.
669,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Clara,Vídeos,Sem acústica,"O evento foi ótimo, mas o local poderia ter mais espaço."
670,2025-03-15,Conhecimento básico,1,Análise de dados avançada,Intermediária,Documentação,Com muitas cadeiras,"A didática foi ótima, consegui entender tudo que foi falado."
