id;gender;age;state;candidate
947;F;21;TX;John Green
948;F;68;GA;Violet Brown
949;F;26;AZ;John Green
950;M;39;CO;Violet Brown
951;M;24;ID;John Green
952;M;18;AR;Violet Brown
953;M;20;ND;John Green
954;F;30;CA;Violet Brown
955;M;22;SC;John Green
956;F;69;MA;John Green
957;M;35;AR;Violet Brown
958;M;45;WA;Violet Brown
959;F;41;IN;Violet Brown
960;F;18;MI;Violet Brown
961;M;28;MN;Violet Brown
962;F;19;NM;Violet Brown
963;F;54;FL;Violet Brown
964;F;28;FL;John Green
965;F;29;WV;John Green
966;F;28;GA;John Green
967;M;56;IA;Violet Brown
968;F;54;NH;Violet Brown
969;F;45;ND;Violet Brown
970;F;37;TN;John Green
971;F;21;NM;Violet Brown
972;M;69;NV;John Green
973;M;29;NJ;John Green
974;M;40;HI;Violet Brown
975;F;23;IA;John Green
976;M;64;HI;John Green
977;F;65;MD;Violet Brown
978;F;23;MO;Violet Brown
979;F;39;ND;John Green
980;M;28;NY;Violet Brown
981;M;38;UT;Violet Brown
982;M;21;IL;John Green
983;M;23;VA;Violet Brown
984;M;39;CO;Violet Brown
985;F;57;VT;John Green
986;M;61;IA;Violet Brown
987;F;63;HI;Violet Brown
988;M;57;MT;John Green
989;M;65;WA;Violet Brown
990;F;32;VA;John Green
991;M;40;NV;Violet Brown
992;F;66;AZ;Violet Brown
993;M;48;CT;Violet Brown
994;F;25;PA;Violet Brown
995;M;62;TX;Violet Brown
996;M;66;MN;John Green
997;M;47;NE;John Green
998;M;33;RI;Violet Brown
999;M;23;TN;John Green
1000;F;19;WI;Violet Brown
1001;F;58;CO;Violet Brown
1002;F;69;CT;Violet Brown
1003;M;29;KY;John Green
1004;F;42;NY;Violet Brown
1005;M;18;NV;Violet Brown
1006;F;65;IL;Violet Brown
1007;F;35;VT;Violet Brown
1008;F;18;KS;John Green
1009;M;21;OH;Violet Brown
1010;F;22;NY;Violet Brown
1011;F;55;NY;Violet Brown
1012;F;54;NV;John Green
1013;F;32;OK;John Green
1014;M;66;AK;Violet Brown
1015;F;41;IN;Violet Brown
1016;F;64;ME;John Green
1017;F;39;MS;Violet Brown
1018;M;62;MO;John Green
1019;F;33;HI;Violet Brown
1020;M;32;AR;Violet Brown
1021;M;45;UT;Violet Brown
1022;M;39;SC;John Green
1023;F;27;OH;Violet Brown
1024;M;32;KY;John Green
1025;M;48;MN;John Green
1026;M;69;SC;Violet Brown
1027;M;54;MD;Violet Brown
1028;F;35;NJ;Violet Brown
1029;F;65;TX;John Green
1030;F;51;MS;Violet Brown
1031;F;67;ME;John Green
1032;M;21;CT;Violet Brown
1033;M;58;CT;Violet Brown
1034;F;36;SC;Violet Brown
1035;F;69;IL;Violet Brown
1036;M;34;AZ;John Green
1037;M;27;DE;Violet Brown
1038;F;55;WV;John Green
1039;M;60;DE;Violet Brown
1040;M;52;TN;John Green
1041;M;36;WV;John Green
1042;F;59;VT;Violet Brown
1043;F;56;MN;John Green
1044;M;53;WY;Violet Brown
1045;M;50;GA;John Green
1046;M;31;ID;Violet Brown
1047;M;69;MS;Violet Brown
1048;M;19;KY;John Green
1049;F;25;OK;John Green
1050;F;59;KS;Violet Brown
1051;F;51;KY;Violet Brown
1052;F;42;IN;John Green
1053;M;35;VT;Violet Brown
1054;M;32;NH;John Green
1055;F;64;NC;John Green
1056;M;34;MA;Violet Brown
1057;M;49;AR;Violet Brown
1058;M;47;OK;John Green
1059;M;20;HI;John Green
1060;F;18;NM;John Green
1061;F;25;TN;John Green
1062;F;20;NM;John Green
1063;F;51;GA;John Green
1064;M;26;AR;Violet Brown
1065;M;56;NJ;Violet Brown
1066;M;46;RI;Violet Brown
1067;M;64;NE;Violet Brown
1068;M;58;AR;Violet Brown
1069;F;48;NE;Violet Brown
1070;F;35;MN;John Green
1071;M;62;DE;John Green
1072;M;30;TX;John Green
1073;F;52;KS;John Green
1074;F;55;VT;Violet Brown
1075;M;37;KS;Violet Brown
1076;M;24;MD;John Green
1077;F;54;IA;Violet Brown
1078;F;68;RI;Violet Brown
1079;M;32;NE;Violet Brown
1080;F;34;UT;Violet Brown
1081;F;64;NE;Violet Brown
1082;F;62;AL;Violet Brown
1083;F;54;OH;John Green
1084;F;26;NC;Violet Brown
1085;M;40;WY;Violet Brown
1086;F;25;MD;John Green
1087;M;29;MI;Violet Brown
1088;M;21;IA;John Green
1089;M;42;MS;John Green
1090;F;32;AL;John Green
1091;F;27;FL;John Green
1092;F;36;MD;John Green
1093;M;52;LA;John Green
1094;F;45;TN;Violet Brown
1095;M;26;TX;John Green
1096;M;32;ND;Violet Brown
1097;F;21;TN;John Green
1098;M;21;IL;John Green
1099;F;46;NH;John Green
1100;F;69;NJ;John Green
1101;F;47;WY;John Green
1102;F;37;TX;Violet Brown
1103;F;52;VA;Violet Brown
1104;M;61;LA;Violet Brown
1105;M;21;ND;Violet Brown
1106;F;36;NY;Violet Brown
1107;M;22;WI;Violet Brown
1108;F;19;FL;John Green
1109;M;28;NV;John Green
1110;M;58;AK;Violet Brown
1111;M;24;AK;John Green
1112;M;65;VT;John Green
1113;F;68;UT;Violet Brown
1114;M;54;AL;Violet Brown
1115;M;48;MT;Violet Brown
1116;F;61;TN;John Green
1117;F;43;PA;Violet Brown
1118;F;53;MS;John Green
1119;F;21;MT;John Green
1120;F;45;MI;Violet Brown
1121;M;43;AK;Violet Brown
1122;F;20;WV;John Green
1123;M;67;AR;Violet Brown
1124;F;28;AZ;Violet Brown
1125;M;52;MS;Violet Brown
1126;F;57;FL;John Green
1127;M;68;ID;John Green
1128;M;50;HI;Violet Brown
1129;M;51;WY;John Green
1130;F;29;NY;John Green
1131;F;42;RI;John Green
1132;M;66;NM;John Green
1133;M;53;MN;John Green
1134;M;32;KY;Violet Brown
1135;M;59;VA;Violet Brown
1136;F;25;HI;Violet Brown
1137;F;28;WI;Violet Brown
1138;M;63;CA;Violet Brown
1139;F;40;MS;John Green
1140;F;58;SD;John Green
1141;F;30;TN;John Green
1142;F;21;OH;John Green
1143;F;24;MA;Violet Brown
1144;F;42;MO;Violet Brown
1145;M;29;MN;John Green
1146;M;47;LA;Violet Brown
1147;M;37;NY;Violet Brown
1148;F;26;CA;Violet Brown
1149;F;65;AK;John Green
1150;F;55;AK;Violet Brown
1151;F;66;IA;John Green
1152;F;44;KY;Violet Brown
1153;M;51;GA;Violet Brown
1154;M;20;NC;Violet Brown
1155;F;62;DE;Violet Brown
1156;F;68;NJ;Violet Brown
1157;M;57;AR;Violet Brown
1158;F;29;KS;John Green
1159;F;59;KY;John Green
1160;F;57;GA;John Green
1161;M;29;CA;Violet Brown
1162;M;61;MS;John Green
1163;M;66;FL;John Green
1164;M;55;IA;John Green
1165;M;30;UT;John Green
1166;F;23;IL;Violet Brown
1167;F;40;NY;Violet Brown
1168;M;35;MO;John Green
1169;F;53;AL;Violet Brown
1170;M;46;NV;Violet Brown
1171;F;66;KY;John Green
1172;F;45;NV;John Green
1173;F;69;UT;Violet Brown
1174;F;35;TN;Violet Brown
1175;M;68;WY;Violet Brown
1176;F;41;WI;Violet Brown
1177;M;20;VT;John Green
1178;F;58;MA;John Green
1179;M;34;NJ;Violet Brown
1180;F;26;WV;John Green
1181;M;29;PA;John Green
1182;M;56;NY;John Green
1183;M;65;DE;Violet Brown
1184;F;34;KY;Violet Brown
1185;F;37;OH;Violet Brown
1186;M;61;MD;Violet Brown
1187;F;50;NM;Violet Brown
1188;M;61;WY;Violet Brown
1189;M;20;IA;John Green
1190;M;53;HI;Violet Brown
1191;M;30;CO;Violet Brown
1192;F;30;TX;Violet Brown
1193;M;38;MT;Violet Brown
1194;F;53;FL;John Green
1195;M;69;WV;Violet Brown
1196;M;68;MS;John Green
1197;M;45;IL;John Green
1198;F;59;MI;John Green
1199;F;30;NE;Violet Brown
1200;F;25;OK;John Green
1201;M;61;LA;John Green
1202;M;26;MT;John Green
1203;M;21;WY;John Green
1204;F;59;WA;John Green
1205;M;18;MI;Violet Brown
1206;M;41;ME;Violet Brown
1207;F;42;WA;John Green
1208;F;24;MS;John Green
1209;F;23;MA;John Green
1210;M;34;SC;Violet Brown
1211;M;62;CT;Violet Brown
1212;M;53;NE;Violet Brown
1213;M;62;OR;Violet Brown
1214;M;66;RI;Violet Brown
1215;F;31;MD;John Green
1216;F;41;ND;John Green
1217;F;69;CA;John Green
1218;F;29;WI;John Green
1219;F;18;OH;Violet Brown
1220;M;67;TN;Violet Brown
1221;M;20;UT;Violet Brown
1222;M;66;WA;John Green
1223;M;64;MT;John Green
1224;M;59;MI;John Green
1225;F;69;OH;Violet Brown
1226;M;33;IL;John Green
1227;M;69;MD;Violet Brown
1228;F;37;AR;Violet Brown
1229;M;55;SC;Violet Brown
1230;F;35;IA;Violet Brown
1231;M;49;KY;John Green
1232;M;63;CT;Violet Brown
1233;F;48;IL;John Green
1234;M;47;AR;John Green
1235;M;28;KY;Violet Brown
1236;M;54;NE;John Green
1237;F;60;CA;Violet Brown
1238;M;47;WV;John Green
1239;M;38;MI;Violet Brown
1240;M;35;AL;Violet Brown
1241;F;61;ND;John Green
1242;F;38;OK;Violet Brown
1243;F;36;AK;John Green
1244;M;49;NM;Violet Brown
1245;M;36;IA;Violet Brown
1246;M;29;PA;John Green
1247;M;60;SD;Violet Brown
1248;F;46;IN;John Green
1249;F;29;MD;Violet Brown
1250;M;54;MN;Violet Brown
1251;M;19;MS;Violet Brown
1252;M;67;TN;Violet Brown
1253;F;69;IA;John Green
1254;F;52;MA;Violet Brown
1255;F;21;MA;Violet Brown
1256;F;42;AK;Violet Brown
1257;M;24;CA;John Green
1258;M;22;AL;Violet Brown
1259;F;46;CA;Violet Brown
1260;M;37;IA;Violet Brown
1261;F;52;CO;John Green
1262;F;33;KY;Violet Brown
1263;M;25;AR;Violet Brown
1264;F;58;WV;Violet Brown
1265;F;50;NJ;Violet Brown
1266;M;65;PA;Violet Brown
1267;M;64;OH;Violet Brown
1268;F;37;NM;John Green
1269;M;61;MI;John Green
1270;M;30;CA;John Green
1271;M;35;NY;John Green
1272;M;46;MN;Violet Brown
1273;M;45;VT;John Green
1274;M;52;AL;John Green
1275;F;60;MA;Violet Brown
1276;F;24;MI;John Green
1277;M;29;MS;John Green
1278;M;40;IL;John Green
1279;F;40;NY;Violet Brown
1280;M;56;CO;Violet Brown
1281;M;69;CA;John Green
1282;M;55;MI;John Green
1283;M;27;SC;Violet Brown
1284;M;37;IN;John Green
1285;F;22;MI;John Green
1286;F;62;UT;Violet Brown
1287;M;20;IA;Violet Brown
1288;F;31;IL;Violet Brown
1289;M;21;MT;Violet Brown
1290;F;68;AZ;Violet Brown
1291;F;45;AK;Violet Brown
1292;M;54;IA;Violet Brown
1293;M;22;KS;Violet Brown
1294;F;32;RI;Violet Brown
1295;M;55;CO;Violet Brown
1296;M;22;OH;Violet Brown
1297;M;64;IA;Violet Brown
1298;M;65;KS;John Green
1299;M;59;MN;Violet Brown
1300;F;51;NH;John Green
1301;M;47;SD;Violet Brown
1302;F;31;AK;Violet Brown
1303;M;50;MA;John Green
1304;F;30;NM;Violet Brown
1305;M;20;NV;Violet Brown
1306;M;22;WY;Violet Brown
1307;M;34;NH;John Green
1308;F;57;OK;Violet Brown
1309;F;60;UT;John Green
1310;F;58;IA;John Green
1311;M;37;ME;John Green
1312;F;28;MT;John Green
1313;M;54;OH;Violet Brown
1314;F;62;DE;Violet Brown
1315;F;29;MT;John Green
1316;M;54;MA;John Green
1317;F;70;MT;Violet Brown
1318;M;63;NM;John Green
1319;F;58;FL;John Green
1320;M;40;IN;John Green
1321;M;19;MN;Violet Brown
1322;M;25;WA;Violet Brown
1323;M;49;MT;Violet Brown
1324;F;49;MO;John Green
1325;M;39;AZ;John Green
1326;F;24;OR;Violet Brown
1327;M;39;SD;Violet Brown
1328;F;52;TX;John Green
1329;F;66;ME;John Green
1330;F;25;NM;John Green
1331;F;55;MD;John Green
1332;F;61;VT;Violet Brown
1333;M;24;WI;John Green
1334;F;61;NC;John Green
1335;F;31;WA;John Green
1336;F;38;TN;John Green
1337;F;18;SC;Violet Brown
1338;F;35;TN;Violet Brown
1339;M;37;IN;John Green
1340;F;31;IA;John Green
1341;F;45;TN;Violet Brown
1342;M;25;MI;Violet Brown
1343;F;51;NY;John Green
1344;M;62;CT;John Green
1345;M;55;MA;Violet Brown
1346;F;64;PA;John Green
1347;F;24;IN;John Green
1348;M;50;SC;Violet Brown
1349;M;60;NH;Violet Brown
1350;M;39;OH;Violet Brown
1351;F;19;GA;John Green
1352;M;43;AL;Violet Brown
1353;M;47;TX;John Green
1354;M;36;KY;Violet Brown
1355;F;32;AR;John Green
1356;F;48;MO;Violet Brown
1357;M;45;VT;Violet Brown
1358;M;48;WI;Violet Brown
1359;M;29;AK;John Green
1360;F;27;ND;Violet Brown
1361;F;56;NC;John Green
1362;M;41;AR;Violet Brown
1363;M;64;CA;Violet Brown
1364;F;68;ID;Violet Brown
1365;M;47;VT;John Green
1366;F;34;WI;John Green
1367;F;46;MT;Violet Brown
1368;F;46;HI;Violet Brown
1369;F;59;CO;Violet Brown
1370;M;50;VA;Violet Brown
1371;F;50;HI;John Green
1372;M;36;CA;Violet Brown
1373;F;50;HI;John Green
1374;M;42;MI;John Green
1375;F;35;ME;Violet Brown
1376;F;33;IL;Violet Brown
1377;F;33;KY;Violet Brown
1378;F;39;UT;John Green
1379;M;19;NV;Violet Brown
1380;F;21;SC;John Green
1381;M;22;MN;John Green
1382;M;47;NE;Violet Brown
1383;M;61;HI;John Green
1384;M;36;CO;John Green
1385;M;47;HI;John Green
1386;M;26;OK;Violet Brown
1387;M;41;IN;John Green
1388;F;41;SC;Violet Brown
1389;F;48;UT;Violet Brown
1390;F;33;AL;Violet Brown
1391;F;67;NV;Violet Brown
1392;M;66;SD;Violet Brown
1393;M;70;ID;Violet Brown
1394;M;22;HI;John Green
1395;F;30;CA;Violet Brown
1396;F;26;OH;Violet Brown
1397;M;41;MN;John Green
1398;M;24;HI;John Green
1399;M;58;TN;John Green
1400;M;21;ND;Violet Brown
1401;M;37;PA;John Green
1402;M;69;OR;Violet Brown
1403;F;53;ME;John Green
1404;F;21;NJ;John Green
1405;M;65;AL;Violet Brown
1406;F;66;DE;John Green
1407;M;58;MS;Violet Brown
1408;M;66;DE;John Green
1409;M;31;MA;John Green
1410;M;23;NE;Violet Brown
1411;M;54;MS;Violet Brown
1412;F;52;WV;John Green
1413;F;62;IA;John Green
1414;M;70;CO;John Green
1415;M;49;LA;Violet Brown
1416;M;23;ME;Violet Brown
1417;M;65;NE;Violet Brown
1418;F;38;KS;John Green
1419;F;70;RI;Violet Brown
1420;F;42;OK;Violet Brown
1421;F;68;RI;John Green
1422;F;46;NY;John Green
1423;M;34;VT;John Green
1424;F;28;WA;Violet Brown
1425;F;61;NH;John Green
1426;F;18;UT;Violet Brown
1427;F;49;KY;Violet Brown
1428;F;38;LA;Violet Brown
1429;F;45;AR;John Green
1430;F;32;NV;Violet Brown
1431;M;37;NM;Violet Brown
1432;F;57;VT;Violet Brown
1433;M;42;VA;John Green
1434;F;36;NE;John Green
1435;F;43;MD;John Green
1436;F;26;OK;John Green
1437;F;20;MN;John Green
1438;M;47;KS;John Green
1439;F;20;OH;John Green
1440;F;27;MT;Violet Brown
1441;F;42;NH;John Green
1442;F;59;NM;Violet Brown
1443;M;69;VA;Violet Brown
1444;M;19;UT;John Green
1445;M;44;IN;John Green
1446;F;31;MD;Violet Brown
1447;F;65;MT;John Green
1448;F;40;OK;Violet Brown
1449;F;66;RI;John Green
1450;F;47;DE;Violet Brown
1451;F;48;VA;Violet Brown
1452;M;41;DE;Violet Brown
1453;M;44;MT;Violet Brown
1454;M;54;SC;John Green
1455;M;22;SD;Violet Brown
1456;F;42;WA;Violet Brown
1457;M;62;MT;Violet Brown
1458;M;64;MD;John Green
1459;F;19;DE;Violet Brown
1460;F;60;NH;John Green
1461;M;26;OR;Violet Brown
1462;M;38;MA;John Green
1463;F;37;RI;Violet Brown
1464;F;30;GA;John Green
1465;M;42;UT;John Green
1466;F;28;DE;Violet Brown
1467;M;43;VT;John Green
1468;M;55;WV;John Green
1469;M;20;IL;Violet Brown
1470;M;47;ND;Violet Brown
1471;F;29;AZ;Violet Brown
1472;M;46;OK;John Green
1473;M;33;MO;Violet Brown
1474;M;54;WY;John Green
1475;M;58;TX;Violet Brown
1476;M;22;MN;John Green
1477;F;66;SC;Violet Brown
1478;M;69;KY;Violet Brown
1479;F;49;AR;John Green
1480;M;52;DE;John Green
1481;M;21;CT;John Green
1482;F;37;NH;John Green
1483;M;22;MD;John Green
1484;F;68;OK;John Green
1485;M;58;IA;Violet Brown
1486;M;56;MA;Violet Brown
1487;F;24;CA;John Green
1488;M;33;KS;John Green
1489;M;51;MI;Violet Brown
1490;M;41;AR;Violet Brown
1491;F;22;ND;John Green
1492;F;58;MA;Violet Brown
1493;M;67;RI;John Green
1494;F;28;ND;John Green
1495;F;29;ND;Violet Brown
1496;F;41;AZ;Violet Brown
1497;F;28;TN;Violet Brown
1498;M;48;ME;Violet Brown
1499;F;52;TN;John Green
1500;M;27;TN;Violet Brown
1501;F;52;NC;Violet Brown
1502;F;41;GA;Violet Brown
1503;M;64;HI;Violet Brown
1504;F;41;SC;John Green
1505;F;59;SD;John Green
1506;F;69;MD;Violet Brown
1507;M;25;VA;John Green
1508;M;23;NC;John Green
1509;M;70;TX;Violet Brown
1510;F;21;AR;Violet Brown
1511;M;32;ID;John Green
1512;M;66;MO;Violet Brown
1513;F;67;RI;John Green
1514;M;29;MT;Violet Brown
1515;M;61;KY;Violet Brown
1516;F;64;GA;John Green
1517;M;45;SC;Violet Brown
1518;M;29;MS;John Green
1519;M;28;MI;John Green
1520;F;58;OK;John Green
1521;M;58;MT;John Green
1522;M;38;AZ;Violet Brown
1523;M;26;CO;John Green
1524;M;26;VA;John Green
1525;M;52;GA;John Green
1526;F;37;MO;John Green
1527;F;42;SC;John Green
1528;M;37;AL;Violet Brown
1529;F;29;MI;Violet Brown
1530;F;60;VA;Violet Brown
1531;M;31;AR;Violet Brown
1532;M;56;OH;Violet Brown
1533;F;18;NE;Violet Brown
1534;F;34;ND;Violet Brown
1535;F;54;MN;Violet Brown
1536;M;55;GA;Violet Brown
1537;F;58;MS;Violet Brown
1538;M;30;TN;Violet Brown
1539;M;68;WV;Violet Brown
1540;F;43;ND;Violet Brown
1541;M;57;NC;John Green
1542;F;42;NM;John Green
1543;F;21;VA;John Green
1544;F;44;KY;Violet Brown
1545;F;23;NM;John Green
1546;F;58;AL;John Green
1547;F;46;VA;John Green
1548;F;56;MN;Violet Brown
1549;F;44;FL;Violet Brown
1550;F;57;CT;John Green
1551;M;36;NH;Violet Brown
1552;F;66;CT;John Green
1553;F;41;MS;John Green
1554;F;23;NY;Violet Brown
1555;M;20;FL;Violet Brown
1556;M;29;RI;Violet Brown
1557;F;48;NH;John Green
1558;F;27;NE;Violet Brown
1559;F;37;MD;Violet Brown
1560;M;35;MA;Violet Brown
1561;F;24;ID;John Green
1562;M;20;TN;John Green
1563;M;43;ID;John Green
1564;M;58;CO;Violet Brown
1565;F;36;WY;Violet Brown
1566;M;60;OK;John Green
1567;F;19;NM;John Green
1568;M;20;UT;Violet Brown
1569;F;61;WI;Violet Brown
1570;M;37;MI;Violet Brown
1571;F;48;MA;John Green
1572;F;60;MT;John Green
1573;M;33;MA;Violet Brown
1574;M;61;NE;John Green
1575;F;60;AR;John Green
1576;F;68;PA;Violet Brown
1577;F;42;KY;Violet Brown
1578;M;32;AZ;Violet Brown
1579;M;18;IL;John Green
1580;F;39;KY;Violet Brown
1581;M;40;VA;Violet Brown
1582;F;23;NM;John Green
1583;M;29;WA;John Green
1584;M;18;NJ;Violet Brown
1585;F;35;VA;John Green
1586;F;39;TN;Violet Brown
1587;F;63;DE;Violet Brown
1588;F;66;SC;Violet Brown
1589;M;25;UT;Violet Brown
1590;F;34;NJ;Violet Brown
1591;M;53;SC;Violet Brown
1592;M;45;ID;John Green
1593;M;56;NC;John Green
1594;F;57;MI;Violet Brown
1595;F;42;NE;Violet Brown
1596;M;23;AL;Violet Brown
1597;F;21;NM;Violet Brown
1598;M;31;TN;John Green
1599;F;46;SC;John Green
1600;M;31;AR;Violet Brown
1601;F;32;TX;Violet Brown
1602;F;26;ID;John Green
1603;F;27;UT;Violet Brown
1604;F;36;GA;John Green
1605;M;43;NJ;John Green
1606;F;62;MI;Violet Brown
1607;F;53;MN;Violet Brown
1608;M;55;ID;Violet Brown
1609;F;22;DE;Violet Brown
1610;M;26;VT;Violet Brown
1611;M;67;SC;Violet Brown
1612;F;42;MO;John Green
1613;F;62;AZ;John Green
1614;F;34;OH;Violet Brown
1615;F;68;LA;John Green
1616;M;25;AZ;John Green
1617;M;20;NJ;Violet Brown
1618;M;40;GA;Violet Brown
1619;F;68;SC;John Green
1620;M;65;NH;Violet Brown
1621;F;32;NM;Violet Brown
1622;M;22;IL;Violet Brown
1623;M;27;HI;John Green
1624;F;25;OK;John Green
1625;M;20;ID;Violet Brown
1626;F;41;CO;Violet Brown
1627;F;26;IN;John Green
1628;M;63;MT;Violet Brown
1629;F;54;MT;Violet Brown
1630;M;53;WV;Violet Brown
1631;F;50;NV;Violet Brown
1632;M;41;HI;John Green
1633;F;33;WV;Violet Brown
1634;M;37;CT;Violet Brown
1635;M;41;RI;John Green
1636;M;58;OK;Violet Brown
1637;F;30;GA;Violet Brown
1638;M;26;TX;Violet Brown
1639;F;46;MD;Violet Brown
1640;M;34;IA;John Green
1641;F;19;GA;Violet Brown
1642;F;31;LA;John Green
1643;M;27;IN;Violet Brown
1644;M;47;OR;John Green
1645;F;70;ME;John Green
1646;F;64;AK;John Green
1647;M;57;CO;Violet Brown
1648;M;27;WI;Violet Brown
1649;M;37;OK;Violet Brown
1650;M;53;SC;John Green
1651;F;24;TN;John Green
1652;M;56;OH;Violet Brown
1653;F;64;VT;Violet Brown
1654;F;55;KY;Violet Brown
1655;F;20;TN;Violet Brown
1656;F;55;OH;Violet Brown
1657;M;53;WI;John Green
1658;F;64;OK;John Green
1659;F;35;MA;John Green
1660;F;53;WV;John Green
1661;M;54;TN;Violet Brown
1662;M;25;VA;Violet Brown
1663;M;60;AR;Violet Brown
1664;F;38;WA;John Green
1665;M;27;AR;John Green
1666;F;67;CA;John Green
1667;F;61;KS;John Green
1668;F;64;SD;John Green
1669;M;46;MN;John Green
1670;M;42;VT;Violet Brown
1671;F;21;OR;Violet Brown
1672;F;37;IA;Violet Brown
1673;M;53;DE;Violet Brown
1674;M;52;AK;John Green
1675;M;68;MI;Violet Brown
1676;F;38;GA;Violet Brown
1677;F;33;OH;Violet Brown
1678;M;18;MN;Violet Brown
1679;F;22;TN;Violet Brown
1680;F;39;NH;Violet Brown
1681;M;23;MT;Violet Brown
1682;F;31;LA;Violet Brown
1683;F;59;MO;John Green
1684;M;43;UT;John Green
1685;M;33;IA;Violet Brown
1686;F;62;RI;Violet Brown
1687;M;25;CA;Violet Brown
1688;F;52;MD;Violet Brown
1689;F;67;AR;John Green
1690;M;50;PA;John Green
1691;M;45;ND;Violet Brown
1692;F;30;CO;Violet Brown
1693;F;51;NY;Violet Brown
1694;F;51;ND;Violet Brown
1695;M;25;NM;Violet Brown
1696;F;28;WI;John Green
1697;F;23;DE;John Green
1698;F;18;VA;Violet Brown
1699;M;66;ID;John Green
1700;M;49;IN;Violet Brown
1701;F;64;MA;Violet Brown
1702;F;50;MT;Violet Brown
1703;F;38;AK;Violet Brown
1704;M;33;OH;Violet Brown
1705;F;57;SC;Violet Brown
1706;F;48;AK;John Green
1707;F;49;SC;Violet Brown
1708;M;23;MN;Violet Brown
1709;M;21;TN;John Green
1710;M;32;HI;Violet Brown
1711;F;26;MI;John Green
1712;F;24;GA;Violet Brown
1713;F;64;CA;John Green
1714;M;70;CT;John Green
1715;M;34;WA;Violet Brown
1716;F;39;OH;Violet Brown
1717;F;70;WI;Violet Brown
1718;M;66;PA;John Green
1719;M;40;MA;Violet Brown
1720;F;70;AR;Violet Brown
1721;F;50;TX;Violet Brown
1722;F;35;AR;Violet Brown
1723;F;26;NH;John Green
1724;M;55;UT;John Green
1725;M;18;NM;Violet Brown
1726;M;53;FL;Violet Brown
1727;M;42;WY;Violet Brown
1728;F;55;NJ;John Green
1729;M;53;MA;Violet Brown
1730;M;41;FL;John Green
1731;F;45;OR;Violet Brown
1732;F;63;SD;Violet Brown
1733;F;32;HI;John Green
1734;M;34;UT;Violet Brown
1735;M;31;VT;Violet Brown
1736;F;51;WY;Violet Brown
1737;M;48;TN;John Green
1738;F;52;MD;Violet Brown
1739;M;33;OR;John Green
1740;M;51;HI;John Green
1741;M;27;AK;John Green
1742;M;41;NV;Violet Brown
1743;F;51;SC;Violet Brown
1744;M;37;WY;Violet Brown
1745;F;25;OH;Violet Brown
1746;M;60;AK;Violet Brown
1747;M;28;FL;John Green
1748;M;56;MS;John Green
1749;F;56;CA;Violet Brown
1750;M;62;TN;Violet Brown
1751;M;56;DE;John Green
1752;F;35;VA;Violet Brown
1753;F;39;CA;John Green
1754;F;18;AK;Violet Brown
1755;M;24;ND;Violet Brown
1756;M;60;RI;John Green
1757;F;18;IL;John Green
1758;M;23;WA;John Green
1759;M;54;NV;John Green
1760;M;28;NC;John Green
1761;M;49;AL;Violet Brown
1762;M;54;DE;John Green
1763;M;35;NE;Violet Brown
1764;M;38;IN;John Green
1765;M;43;HI;John Green
1766;M;24;MO;Violet Brown
1767;M;48;TX;Violet Brown
1768;M;21;MN;Violet Brown
1769;F;59;WI;Violet Brown
1770;M;67;KY;Violet Brown
1771;F;20;FL;John Green
1772;M;70;AZ;Violet Brown
1773;M;20;UT;John Green
1774;F;50;IA;Violet Brown
1775;M;55;TN;John Green
1776;F;58;TX;John Green
1777;M;56;MA;Violet Brown
1778;F;65;NJ;John Green
1779;M;26;MI;John Green
1780;M;26;CA;Violet Brown
1781;M;64;DE;John Green
1782;F;64;NY;Violet Brown
1783;M;59;MN;Violet Brown
1784;M;20;NY;Violet Brown
1785;M;49;AZ;Violet Brown
1786;F;64;GA;Violet Brown
1787;M;37;FL;John Green
1788;F;60;MN;John Green
1789;M;36;AK;Violet Brown
1790;M;52;TN;Violet Brown
1791;F;55;NY;John Green
1792;M;24;WI;Violet Brown
1793;M;36;MD;Violet Brown
1794;M;36;NC;Violet Brown
1795;F;45;GA;Violet Brown
1796;F;39;MA;John Green
1797;F;24;MN;John Green
1798;F;32;FL;John Green
1799;M;69;NC;Violet Brown
1800;F;41;NE;Violet Brown
1801;M;44;WY;Violet Brown
1802;F;21;WI;John Green
1803;M;39;ME;John Green
1804;M;43;GA;Violet Brown
1805;F;45;CO;John Green
1806;F;18;OK;Violet Brown
1807;F;57;NC;John Green
1808;M;60;MO;John Green
1809;M;59;IN;John Green
1810;F;39;CA;John Green
1811;M;27;OH;John Green
1812;M;45;ME;John Green
1813;F;20;FL;John Green
1814;M;36;AK;Violet Brown
1815;F;58;ID;Violet Brown
1816;M;57;SC;John Green
1817;M;41;MI;Violet Brown
1818;M;48;PA;Violet Brown
1819;M;28;WV;John Green
1820;F;24;TN;John Green
1821;F;42;OH;John Green
1822;M;34;SD;Violet Brown
1823;F;42;RI;Violet Brown
1824;F;21;DE;Violet Brown
1825;F;49;MI;John Green
1826;M;33;MN;Violet Brown
1827;M;38;IN;Violet Brown
1828;F;47;MA;Violet Brown
1829;F;48;VA;Violet Brown
1830;F;69;AR;Violet Brown
1831;F;48;ME;Violet Brown
1832;F;69;NY;Violet Brown
1833;M;19;OK;John Green
1834;F;52;UT;John Green
1835;M;26;DE;Violet Brown
1836;M;33;GA;Violet Brown
1837;M;51;KS;John Green
1838;M;32;TX;Violet Brown
1839;F;36;AL;John Green
